class,value0,value1,value2
1,0.0,0.696969696969697,0.5913978494623656
2,0.8074291300097751,0.0,0.0
2,0.8357771260997068,0.0,0.0
3,0.5972629521016618,0.804496578690127,0.12512218963831867
3,0.6011730205278593,0.8064516129032258,0.13294232649071358
0,0.37438905180840665,0.10654936461388075,0.7135874877810362
0,0.3831867057673509,0.11632453567937438,0.7174975562072337
1,0.0,0.0,0.793743890518084
1,0.0,0.0,0.8005865102639296
2,0.6950146627565983,0.0,0.0
2,0.6520039100684262,0.0,0.0
3,0.6774193548387096,0.8690127077223851,0.0801564027370479
3,0.8172043010752689,0.8387096774193549,0.26881720430107525
2,0.43792766373411535,0.4682306940371456,0.05571847507331378
2,0.44574780058651026,0.4682306940371456,0.06158357771260997
0,0.49266862170087977,0.3391984359726295,0.5855327468230694
0,0.5043988269794721,0.3489736070381232,0.5855327468230694
1,0.1466275659824047,0.0009775171065493646,0.5884652981427175
1,0.011730205278592375,0.0,0.5992179863147605
3,0.7350928641251222,0.8181818181818182,0.34017595307917886
3,0.7487781036168133,0.8250244379276638,0.3509286412512219
2,0.501466275659824,0.520039100684262,0.0
2,0.5043988269794721,0.5180840664711632,0.0
0,0.5180840664711632,0.5190615835777126,0.7272727272727273
0,0.5151515151515151,0.5268817204301075,0.7243401759530792
1,0.0,0.1798631476050831,0.7888563049853372
1,0.0,0.32746823069403713,0.7908113391984359
3,0.4467253176930596,0.820136852394917,0.5278592375366569
3,0.447702834799609,0.8211143695014663,0.5317693059628543
2,0.007820136852394917,0.8748778103616813,0.20625610948191594
2,0.006842619745845552,0.8758553274682307,0.23558162267839688
0,0.4946236559139785,0.3010752688172043,0.6647116324535679
0,0.4897360703812317,0.3225806451612903,0.6578690127077224
1,0.0,0.5434995112414467,0.6695992179863147
1,0.0,0.544477028347996,0.6725317693059628
3,0.7634408602150538,0.8005865102639296,0.26392961876832843
3,0.7663734115347018,0.7996089931573802,0.3020527859237537
2,0.05474095796676442,0.8680351906158358,0.39002932551319647
2,0.06158357771260997,0.8680351906158358,0.4066471163245357
0,0.5327468230694037,0.5601173020527859,0.6471163245356794
0,0.5366568914956011,0.5630498533724341,0.6510263929618768
1,0.0,0.2541544477028348,0.7663734115347018
1,0.0,0.2570869990224829,0.7663734115347018
3,0.31867057673509286,0.83088954056696,0.6959921798631477
3,0.30498533724340177,0.8328445747800587,0.696969696969697
2,0.4760508308895406,0.7878787878787878,0.03421309872922776
2,0.004887585532746823,0.6080156402737048,0.8660801564027371
0,0.5298142717497556,0.46432062561094817,0.6256109481915934
0,0.5347018572825024,0.46725317693059626,0.635386119257087
1,0.0,0.33724340175953077,0.8426197458455523
1,0.0,0.3391984359726295,0.8426197458455523
3,0.6168132942326491,0.8357771260997068,0.5767350928641252
3,0.6109481915933529,0.8367546432062561,0.5669599217986315
2,0.019550342130987292,0.5180840664711632,0.07331378299120235
2,0.019550342130987292,0.5171065493646139,0.07233626588465299
0,0.501466275659824,0.541544477028348,0.4858260019550342
0,0.5053763440860215,0.5483870967741935,0.49071358748778104
1,0.0,0.36363636363636365,0.7067448680351907
1,0.0,0.36363636363636365,0.6999022482893451
